ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
421,67,42,58.7,17896,4,3.3,2,0,0,0,0,0,0
422,64,40,48.0,42972,2,2.7,3,0,0,0,0,0,1
423,42,18,74.6,59733,4,3.5,1,0,0,0,0,1,0
424,56,34,56.3,51800,3,1.7,2,0,0,0,0,0,0
425,52,26,80.0,15347,2,3.4,1,0,0,0,0,1,1
426,60,38,42.8,69063,2,2.1,1,0,0,0,0,0,0
427,34,11,82.7,12643,1,2.9,2,0,1,0,0,1,0
428,53,31,98.7,50785,3,3.4,3,149,0,0,0,1,0
429,57,35,36.7,28681,2,2.5,1,0,0,0,0,1,0
430,26,1,84.0,60026,2,3.2,1,0,0,0,0,0,1
431,32,8,113.3,25892,2,5.5,1,0,1,0,0,0,0
432,23,0,48.3,57299,3,2.5,1,0,0,1,0,1,1
433,42,20,132.3,27073,4,5.5,3,0,1,0,0,0,0
434,53,27,85.3,40682,4,3.7,2,0,0,1,0,1,0
435,62,40,57.6,24289,2,1.5,2,176,0,0,0,1,0
436,46,23,72.3,17927,3,3.0,3,101,1,0,0,1,0
437,63,41,89.6,58330,3,4.4,1,0,0,0,0,1,0
438,30,5,75.7,76707,3,3.4,2,0,0,0,0,0,1
439,26,2,89.0,87454,4,3.7,2,0,0,0,0,1,1
440,44,21,53.4,75428,1,3.2,2,115,0,1,0,1,1
441,49,27,78.2,60601,1,3.0,3,113,0,0,0,1,1
442,45,19,44.9,87465,4,1.4,3,0,0,0,1,1,1
443,23,0,70.9,12539,2,2.9,1,0,0,0,0,1,0
444,44,21,53.7,32669,4,2.6,3,75,0,0,0,0,1
445,31,9,57.0,80968,4,1.2,1,0,0,0,0,0,0
446,52,29,113.6,30644,1,4.7,1,0,1,0,1,1,0
447,49,23,108.0,28745,4,4.8,1,0,0,0,0,0,0
448,35,12,91.2,38228,2,3.5,1,0,0,0,0,1,0
449,39,13,50.3,44521,2,2.7,2,58,0,0,0,1,0
450,33,11,66.0,36928,3,3.0,2,67,0,0,0,0,1
451,44,20,112.7,28322,4,5.8,3,0,1,0,1,0,0
452,56,33,77.4,67714,1,2.6,2,0,0,0,1,1,0
453,34,10,166.0,97896,2,7.1,2,0,1,0,0,0,0
454,51,25,84.6,72292,3,2.8,1,0,0,0,0,1,0
455,39,16,78.8,39055,3,2.2,1,0,0,0,0,1,0
456,36,11,66.1,52891,3,1.4,2,0,0,0,0,1,0
457,44,20,77.2,91912,1,3.4,2,0,0,0,0,1,0
458,34,11,69.9,16588,2,2.9,3,0,1,0,0,0,0
459,39,15,94.4,16304,2,3.5,1,0,0,0,0,1,1
460,32,9,103.0,17345,3,3.1,1,0,0,0,0,0,1
461,67,45,56.0,39300,2,1.8,2,0,0,0,1,0,0
462,45,21,46.3,34259,1,1.9,1,0,0,0,0,1,0
463,37,12,38.8,98553,4,2.0,1,63,1,0,0,1,0
464,47,22,88.0,25352,1,3.5,3,0,0,0,0,0,1
465,44,18,50.1,43365,4,2.2,1,0,0,0,1,1,0
466,43,20,34.7,29446,3,1.2,2,115,0,1,0,1,0
467,52,28,84.4,12336,3,4.4,1,64,0,1,0,0,1
468,53,27,176.4,72032,2,6.4,1,0,1,0,0,0,0
469,39,15,73.5,85415,1,2.5,1,127,0,0,0,1,0
470,39,16,98.8,17521,3,3.7,3,0,1,0,0,1,0
471,42,17,75.8,81707,4,3.4,1,0,0,1,0,1,1
472,23,1,71.2,33481,3,2.2,3,0,0,0,0,1,1
473,28,3,101.7,28474,1,4.1,1,0,0,0,0,0,1
474,60,34,66.6,56760,3,2.8,3,0,0,0,0,1,0
475,63,41,80.9,65718,3,2.8,1,0,0,0,0,1,0
476,42,16,82.5,54629,3,3.5,2,0,0,0,0,1,1
477,51,28,58.3,55232,3,1.7,2,0,0,1,0,0,1
478,48,26,104.3,96544,4,3.5,3,0,1,0,0,0,0
479,67,41,69.3,77169,3,2.8,1,0,0,0,0,0,1
480,57,34,56.6,60669,1,1.3,1,0,0,0,0,1,0
481,44,19,88.9,88021,2,2.3,1,159,0,0,0,1,0
482,34,11,53.8,79184,1,2.5,3,33,0,0,0,1,0
483,27,3,74.4,57945,2,3.6,2,127,0,0,0,0,0
484,47,24,73.5,23140,2,2.7,3,0,1,0,1,0,1
485,37,14,107.8,93457,1,3.9,1,77,0,0,0,1,0
486,29,5,87.0,24357,2,4.1,1,0,0,0,0,1,0
487,38,12,73.1,78673,1,2.2,1,0,0,0,0,1,1
488,33,7,98.1,75633,3,3.1,3,0,1,1,0,0,1
489,64,41,119.9,86943,4,5.2,2,0,1,1,0,1,0
490,55,31,89.6,88258,1,3.6,3,0,1,0,0,0,0
491,45,21,74.0,22924,4,3.6,1,0,0,0,0,0,0
492,61,36,46.6,79286,2,0.6,2,55,0,1,0,1,0
493,46,20,50.8,84071,2,1.2,2,0,0,0,0,0,1
494,36,14,66.2,67326,1,2.7,1,0,0,0,0,0,1
495,62,36,59.5,40651,2,2.6,3,77,0,1,0,1,0
496,51,25,69.0,80202,3,3.3,3,0,0,0,0,1,0
497,34,9,75.2,58777,3,3.1,3,0,0,0,0,1,0
498,43,21,88.7,26994,1,3.6,3,0,0,1,0,1,1
499,35,10,71.9,77263,1,2.6,1,0,0,0,0,0,0
500,30,8,87.4,69634,2,4.5,1,0,0,0,0,0,0
